Task Name,Description,Status,Assignee
تجهيز نظام تسجيل الدخول والصلاحيات,"إنشاء نظام دخول للمنصة مع حساب مالك الحساب، وتجهيز صلاحيات الموظفين حسب الدور، مثل عرض المحادثات، الإسناد، والحذف.",DONE,abdulaziz@audience.sa
إنشاء صفحة المحادثات,"تجهيز صفحة المحادثات الرئيسية، مع عرض قائمة المحادثات، فتح محادثة العميل، إرسال الردود، الملاحظات الخاصة، وحالة المحادثة.",DONE,abdulaziz@audience.sa
ربط WhatsApp Cloud API,"ربط المنصة مع WhatsApp Cloud API عبر Meta، وتجهيز استقبال الرسائل، إرسال الردود، القوالب، الوسائط، والويبهوك الخاص بواتساب.",IN PROGRESS,abdulaziz@audience.sa
ربط Instagram Messages & Comments,"ربط حساب Instagram بالمنصة لاستقبال الرسائل الخاصة والتعليقات، وعرضها داخل صندوق المحادثات، مع إمكانية الرد على الرسائل والتعليقات.",IN PROGRESS,abdulaziz@audience.sa
ربط Facebook Messenger,"تجهيز ربط صفحة Facebook Messenger مع المنصة لاستقبال رسائل العملاء والرد عليها من داخل لوحة التحكم.",IN PROGRESS,abdulaziz@audience.sa
ربط Telegram Bot,"تجهيز ربط Telegram عبر Bot Token، وتفعيل Webhook لاستقبال رسائل العملاء داخل المنصة والرد عليها.",REVIEW / TESTING,abdulaziz@audience.sa
ربط البريد الإلكتروني,"تجهيز قناة البريد الإلكتروني داخل المنصة، مع استقبال الرسائل عبر Webhook، عرضها كمحادثات، وإرسال الردود عبر مزود البريد.",REVIEW / TESTING,abdulaziz@audience.sa
ربط Google Maps Reviews,"تجهيز ربط Google Business Profile لاستقبال تقييمات Google Maps داخل المنصة، وعرضها كمحادثات مع إمكانية الرد على التقييمات.",ON HOLD,abdulaziz@audience.sa
تجهيز صفحة العملاء,"إنشاء صفحة العملاء مع فصل العملاء حسب القناة مثل واتساب، إنستقرام، تيليجرام، البريد الإلكتروني، وخرائط Google.",DONE,abdulaziz@audience.sa
تجهيز صفحة الإعدادات والربط,"إنشاء صفحة لإدارة ربط القنوات المختلفة، حفظ بيانات الربط، عرض حالة الاتصال، روابط Callback، Webhook، وبيانات كل منصة.",DONE,abdulaziz@audience.sa
تجهيز الردود السريعة,"إنشاء صفحة الردود السريعة وربطها بالمحادثات لتسهيل استخدام ردود محفوظة أثناء التواصل مع العملاء.",DONE,abdulaziz@audience.sa
تجهيز القوالب وربطها مع Meta,"إنشاء صفحة القوالب ومزامنتها مع Meta، مع عرض حالة القالب وإمكانية استخدامها في رسائل واتساب عند انتهاء نافذة 24 ساعة.",REVIEW / TESTING,abdulaziz@audience.sa
تجهيز صفحة الأتمتة,"إنشاء صفحة الأتمتة لإضافة قواعد تلقائية حسب الأحداث والشروط، مثل فتح محادثة، إضافة وسم، إسناد موظف، أو إرسال قالب.",IN PROGRESS,abdulaziz@audience.sa
تجهيز ساعات العمل,"إنشاء صفحة ساعات العمل لتحديد أوقات عمل الفريق، والتحكم في حالة الردود خارج أوقات الدوام.",DONE,abdulaziz@audience.sa
تجهيز العملاء المحتملين CRM,"إنشاء صفحة العملاء المحتملين وربطها مستقبلاً مع مصادر خارجية مثل Zapier أو Google Forms لاستقبال بيانات العملاء الجدد.",BACKLOG,abdulaziz@audience.sa
تحسين عرض الرسائل والرد على رسالة محددة,"تفعيل ميزة الرد على رسالة معينة داخل المحادثة، وعرض الرسالة الأصلية داخل الرد بشكل واضح في المنصة.",REVIEW / TESTING,abdulaziz@audience.sa
تجهيز صلاحية حذف المحادثات,"حصر صلاحية حذف المحادثات على مالك الحساب فقط، وإخفاء خيارات الحذف عن الموظفين غير المصرح لهم.",DONE,abdulaziz@audience.sa
تجهيز استقبال وإرسال الوسائط,"دعم إرسال واستقبال الصور، المستندات، التسجيلات الصوتية، والملصقات داخل المحادثات حسب إمكانيات كل قناة.",REVIEW / TESTING,abdulaziz@audience.sa
تجهيز صفحة الموظفين والصلاحيات,"إنشاء صفحة لإدارة الموظفين، إضافة موظف جديد، تحديد الصلاحيات، وربط عدد الموظفين بالباقة المختارة.",REVIEW / TESTING,abdulaziz@audience.sa
إرسال رابط تفعيل الموظف عبر البريد,"عند إضافة موظف جديد، يتم إرسال رابط تفعيل للبريد الإلكتروني حتى ينشئ الموظف كلمة المرور ويدخل للمنصة.",REVIEW / TESTING,abdulaziz@audience.sa
تجهيز صفحة قنوات التواصل,"إظهار القنوات المرتبطة داخل القائمة الجانبية، وعند الضغط على قناة يتم فلترة المحادثات الخاصة بها فقط.",DONE,abdulaziz@audience.sa
تحسين تصميم واجهة المنصة,"تحسين ترتيب الواجهة، القوائم، ألوان القنوات، عرض حالة الربط، وأسلوب ظهور المحادثات بما يناسب الاستخدام اليومي.",IN PROGRESS,abdulaziz@audience.sa
تجهيز X Integration كغير متاح حالياً,"إضافة منصة X ضمن القنوات مع توضيح أنها غير متاحة حالياً بسبب متطلبات API والدفع، وتجهيزها للتفعيل لاحقاً.",ON HOLD,abdulaziz@audience.sa
تطوير ربط Zapier للعملاء المحتملين,"تجهيز استقبال العملاء المحتملين من Zapier أو أي Webhook خارجي، وتحويل بيانات العميل إلى Lead داخل صفحة العملاء المحتملين.",BACKLOG,abdulaziz@audience.sa
تطوير الرد الآلي للعملاء المحتملين,"بعد وصول Lead جديد، يتم إرسال رسالة تلقائية مخصصة حسب بيانات الفورم مثل الاسم والاهتمام، مع إمكانية تحديد قالب لكل عميل.",BACKLOG,abdulaziz@audience.sa
